Hospital_Name,Department,Doctor,Dr_image,About_dr
University Hospital Rechts der Isar Munich,"General, sports orthopedics",Prof. Dr. med. Rudiger von Eisenhart-Rothe,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Rudiger von Eisenhart-Rothe is an experienced and highly accomplished orthopedic surgeon specializing in pediatric orthopedics and sports traumatology. With an impressive 27 years of experience in the field, he has established himself as an expert in his profession. Currently working at the Department of Orthopedics and Sports Orthopedics at the prestigious University Hospital Rechts der Isar in Munich, Germany, Dr. von Eisenhart-Rothe has made significant contributions to his field. In addition to his extensive clinical experience, Dr. von Eisenhart-Rothe has a notable academic background. He has published 435 scientific publications, focusing on various aspects of orthopedics and sports medicine. His research has delved into topics such as kinematics and biomechanics, cartilage loss, shoulder instability, and the assessment of cartilage status in osteoarthritis. This extensive body of work showcases his dedication to advancing the field of orthopedics and improving patient outcomes. Dr. von Eisenhart-Rothe's expertise and contributions are recognized nationally and internationally. He has been invited to serve as the president and organizer of numerous national and international congresses. Additionally, he is the founding president of the German Hip Society and holds positions in various orthopedic associations. Overall, Dr. von Eisenhart-Rothe's extensive experience, impressive research publications, and leadership roles make him a highly respected and sought-after orthopedic surgeon. His dedication to advancing the field and improving patient care is evident in his achievements and contributions."
University Hospital Rechts der Isar Munich,Ophthalmology,Prof. Dr. med. Mathias Maier,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Mathias Maier is a highly experienced ophthalmologist with over 31 years of experience in the field. Currently working at the Department of Ophthalmology in the University Hospital Rechts der Isar in Munich, Germany, he has established himself as a leading expert in the treatment of diabetic eye and retinal diseases. Dr. Maier's impressive career highlights include his multiple memberships in renowned ophthalmological societies, such as the American Academy of Ophthalmology and the German Ophthalmological Society. He has also received numerous awards and medals for his contributions to ophthalmic surgery, further solidifying his expertise in the field. Not only is Dr. Maier recognized for his clinical accomplishments, but he is also actively involved in research. With over 280 scientific publications to his name, he focuses on topics such as retinal surgery, macular diseases, and the effects of COVID-19 on the eyes. Dr. Maier's extensive experience, dedication to excellence, and commitment to advancing the field of ophthalmology make him a highly respected and sought-after doctor. Patients can trust his knowledge and expertise to provide them with top-quality care for their eye conditions."
University Hospital Rechts der Isar Munich,"Obstetrics, perinatal medicine",Prof. Dr. med. Bettina Kuschel,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Bettina Kuschel is an experienced doctor specializing in obstetrics and perinatal medicine, as well as medical genetics. With board certifications in internal medicine and gynecology, she has demonstrated expertise in her field. Currently, Prof. Dr. Kuschel heads the Department of Obstetrics and Perinatal Medicine at the University Hospital Rechts der Isar in Munich, Germany. What sets Prof. Dr. Kuschel apart is her extensive involvement in research and academia. She has published over 150 scientific papers, showcasing her dedication to advancing medical knowledge in her areas of specialization. Her research focuses on fetal development, placental dysfunction, and the impact of diseases like preeclampsia and gestational diabetes on pregnancy outcomes. This demonstrates her commitment to improving the health of both mother and baby during pregnancy. Additionally, Prof. Dr. Kuschel is an active member of professional societies such as the German Society for Gynecology and Obstetrics and the Bavarian Society of Obstetrics and Gynecology. Her contributions to teaching have also been recognized, as she has received a Teaching Excellence Prize. Overall, Prof. Dr. med. Bettina Kuschel is highly regarded in her field due to her qualifications, experience, and commitment to research and education. Her expertise in obstetrics, perinatal medicine, and medical genetics makes her a valuable asset to the Department of Obstetrics and Perinatal Medicine at the University Hospital Rechts der Isar in Munich."
University Hospital Rechts der Isar Munich,Nutrition medicine,Prof. Dr. med. Marc Martignoni,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Marc Martignoni is an esteemed doctor based in Munich, Germany, working at the University Hospital Rechts der Isar Munich. With an impressive 27 years of experience, he specializes in general surgery and nutrition medicine. His extensive CV includes a medical degree from The Ludwig Maximilian University of Munich, a Ph. D. , and a Habilitation. Dr. Martignoni has been recognized for his outstanding contributions to the field, receiving awards such as the ""For special services to the Technical University of Munich"" in 2020 and being named the ""Outstanding Specialist in Dietetics"" by Munich Inquire Media from 2021 to 2022. One of the most remarkable aspects of Dr. Martignoni's career is his involvement in nutrition and cancer research. He is the head of the working group on nutrition and cancer at the Munich Cancer Center and has co-edited the Handbook of Nutrition and Cancer alongside Professor Hauner. Additionally, he has developed a nutrition course called ""Medicine meets nutrition"" in collaboration with Mr. Alfons Shuhbek, specifically designed for patients after surgery or chemotherapy. Dr. Martignoni's dedication to advancing medical knowledge is evident in his impressive publication record, which includes 152 scientific publications. His research covers diverse topics, ranging from acute pancreatitis to esophageal cancer, and he has made significant contributions to understanding and treating these diseases. Overall, his extensive experience, specialization in nutrition medicine, and research contributions make Dr. Martignoni an exceptional doctor in his field."
University Hospital Rechts der Isar Munich,"Nuclear medicine, radionuclide therapy",Prof. Dr. med. Wolfgang Weber,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Wolfgang Weber is an esteemed doctor specializing in nuclear medicine and molecular and radionuclide therapy. With 28 years of experience, he has a remarkable career that includes prestigious positions at renowned institutions. He obtained his medical license from the University Hospital Rechts der Isar of the Technical University of Munich, where he also completed his specialization in nuclear medicine. Following his specialization, Dr. Wolfgang Weber was an associate professor at the University of California, Los Angeles. He later became the chair of the Department of nuclear medicine at the University of Freiburg. He also held the position of Chief of the molecular imaging and therapy service at Memorial Sloan Kettering Cancer Center and Professor of Radiology at Weill-Cornell Medical College in New York. Dr. Weber's expertise is not only recognized through his clinical work but also through his contributions to scientific publications. His numerous published papers highlight his focus and dedication to improving patient care and treatment outcomes. With his extensive knowledge and skills, patients can trust Prof. Dr. med. Wolfgang Weber for the highest quality of care in the field of nuclear medicine, molecular, and radionuclide therapy. In summary, Prof. Dr. med. Wolfgang Weber is a highly accomplished doctor with a remarkable career in nuclear medicine. He has demonstrated his expertise and commitment to advancing patient care through his various roles and contributions to scientific publications. Patients can expect top-notch treatment and personalized care under his guidance at the Department of nuclear medicine, molecular and radionuclide therapy at the University Hospital Rechts der Isar Munich, Germany."
University Hospital Rechts der Isar Munich,"Neurosurgery, neuro-oncology",Prof. Dr. med. Bernhard Meyer,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Bernhard Meyer is an esteemed neurosurgeon based in Munich, Germany. With 28 years of experience, he has a strong academic background, having studied medicine at renowned universities such as Padua/Italy, Erlangen-Nurnberg, and Northwestern University in Chicago. He has also received his Ph. D. from the Institute for Human Genetics at the University of Erlangen-Nurnberg. Dr. Meyer's career highlights include being a Professor of Neurosurgery at the Neurosurgical University Clinic in Bonn and currently holding the Chair of Neurosurgery at the University Hospital Rechts der Isar Munich. Dr. Meyer has made significant contributions to the field of neurosurgery and neuro-oncology, specializing in spine and vascular neurosurgery. He has published many scientific papers covering topics such as the use of complementary and alternative medicine in oncology treatment, the timing of surgery following SARS-CoV-2 infection, and the evaluation of acute plasma levels in traumatic brain injury patients. His research and expertise have earned him various leadership positions, including Chairperson of the Spine Section of the European Association of Neurosurgical Societies and President of the German Society for Spine Surgery in 2019. With his extensive knowledge and dedication to advancing neurosurgery, Dr. Meyer is regarded as an excellent and highly skilled doctor in his field. His impressive career achievements and commitment to research make him a trusted expert for patients seeking neurosurgical care."
University Hospital Rechts der Isar Munich,Neurology,Prof. Dr. med. Bernhard Hemmer,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Bernhard Hemmer is an esteemed neurologist with over 32 years of experience. He currently works at the Department of Neurology at University Hospital Rechts der Isar Munich, Germany. Throughout his career, Dr. Hemmer has made significant contributions to the field of neurology. Dr. Hemmer's impressive CV includes various academic positions, such as being a Vice-Dean of the Technical University of Munich medical school and a Co-speaker at the German multiple sclerosis competence networks. He has also received several awards, including the Heinrich-Pette Award of the German Neurological Society and the Sobek Research Award. With 718 scientific publications to his name, Dr. Hemmer's research focuses on multiple sclerosis and other neurological disorders. He has served as the principal investigator and advisory board member for numerous clinical trials and is a member of prestigious neurological journals' advisory boards. Dr. Hemmer's extensive experience, expertise, and dedication to advancing the field of neurology make him a highly respected and sought-after doctor. His research and contributions have greatly improved the understanding and treatment of multiple sclerosis and other neurological conditions. In summary, Prof. Dr. med. Bernhard Hemmer is a distinguished neurologist with a remarkable career and an impressive list of scientific publications. His expertise and research in multiple sclerosis and other neurological disorders have significantly impacted the field of neurology, making him a trusted and respected professional in his field."
University Hospital Rechts der Isar Munich,Interventional radiology,Prof. Dr. med. Philipp M. Paprottka,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Philipp M. Paprottka is a highly accomplished radiologist specializing in interventional and clinical radiology. With 15 years of experience and a wealth of knowledge, Dr. Paprottka has established himself as a leading expert in his field. He has an impressive CV, including studying medicine at the Westfaelische Wilhelms University in Munster and earning a Doctor of Medicine degree from the same institution. He further honed his skills through specialist training in radiology at the Institute for Clinical Radiology at Ludwig Maximilian University in Munich. Dr. Paprottka has held various prestigious positions throughout his career, such as Head of Interventional Radiology at the University Campus Grosshadern and Associate Professor of Radiology at Ludwig Maximilian University in Munich. He has also published a remarkable 183 scientific papers covering a wide range of topics in the field. His publications highlight his expertise in liver cancer treatment, minimally invasive interventions, and personalized selective internal radiation therapy. The doctor's extensive experience, impressive CV, and numerous scientific publications make him an exceptional radiologist. His dedication to research and innovation in interventional radiology sets him apart, making him an excellent choice for patients seeking advanced and effective treatments. Dr. Paprottka practices at the Department of Interventional Radiology at the University Hospital Rechts der Isar in Munich, Germany."
University Hospital Rechts der Isar Munich,"Gastroenterology, endocrinology, infectiology",Prof. Dr. med. Roland M. Schmid,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Roland M. Schmid is a highly experienced and accomplished doctor in the field of internal medicine, specifically specializing in gastroenterology, endocrinology, diabetology, infectiology, and hepatology. With a career spanning 36 years, he has established himself as a prominent figure in the medical community. Prof. Schmid's impressive track record includes obtaining a promotion and a habilitation in medical research and various awards and recognitions for his contributions to the field. He has published 921 scientific publications, showcasing his dedication to advancing medical knowledge. The physician works at the prestigious University Hospital Rechts der Isar Munich in the Department of Internal Medicine. His expertise and extensive knowledge allow him to provide exceptional patient care, staying at the forefront of medical advancements. Prof. Schmid's focus on research and his involvement in numerous medical societies and associations demonstrate his commitment to staying updated with the latest developments in his field. His dedication to improving treatments and finding new solutions makes him a highly respected and sought-after doctor. In conclusion, Prof. Dr. med. Roland M. Schmid is an exemplary doctor with a remarkable career in internal medicine. His expertise, extensive research, and commitment to advancing medical knowledge make him a trusted and highly regarded professional."
University Hospital Rechts der Isar Munich,"Cardiology, angiology, pulmonology",Prof. Dr. med. Karl-Ludwig Laugwitz,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Karl-Ludwig Laugwitz is a highly accomplished doctor specializing in internal medicine, cardiology, and pulmonology. With 29 years of experience, he has established himself as an expert in his field. He currently works at the University Hospital Rechts der Isar Munich in the Department of Internal Medicine, which includes cardiology, angiology, and pulmonology. Prof. Laugwitz's impressive CV showcases his dedication and passion for his profession. He has conducted extensive research and has published hundreds of scientific papers, demonstrating his commitment to advancing medical knowledge. His research focuses on cardiovascular conditions, including heart failure and coronary artery disease. In recognition of his contributions, Prof. Laugwitz has received numerous prestigious awards, such as the Rudolf Buchheim Award and the Astra-Zeneca Award. These accolades highlight his expertise and the significance of his research in heart problems. With his extensive experience, dedication to research, and commitment to improving patient care, Prof. Dr. med. Karl-Ludwig Laugwitz is considered an exceptional and highly skilled doctor. His work has the potential to shape the future of cardiovascular medicine, offering new insights and advancements in the treatment of various heart-related conditions."
University Hospital Rechts der Isar Munich,Hand surgery,Dr. med. Haydar Kukrek,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Dr. med. Haydar Kukrek is a highly accomplished and experienced plastic and aesthetic surgeon with 22 years of experience. He is currently based at the Department of Hand Surgery at the prestigious University Hospital Rechts der Isar in Munich, Germany. Dr. Kukrek holds a Ph. D. in medical research and has published 16 scientific articles, showcasing his expertise and dedication to his field. What sets Dr. Kukrek apart is his specialization in hand surgery, reconstructive microsurgery, and plastic and aesthetic surgery. His extensive training and specializations make him uniquely qualified to perform complex procedures and deliver exceptional results. He is known for his expertise in breast reduction, augmentation, and tightening, body lift, facelift, tummy tuck, and eyelid surgery, among others. Dr. Kukrek's impressive career highlights include his work as a senior physician and head of the Department of Hand Surgery at the University Hospital Rechts der Isar Munich. He has also been recognized for his contributions to medical research, receiving the Karl Max von Bauernfeind Medal for his involvement in the world's first successful transplantation of two complete arms. Patients can trust that Dr. Kukrek's wealth of experience and dedication to his craft make him a highly skilled and reliable surgeon. His focus on research and continuous learning ensures that he remains at the forefront of advancements in his field, providing his patients with the best possible care."
University Hospital Rechts der Isar Munich,"Hematology, oncology",Prof. Dr. med. Florian Bassermann,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Florian Bassermann is an esteemed doctor specializing in internal medicine, hematology, and oncology. With 21 years of experience, Dr. Bassermann has established himself as a leading figure in his field. He has an impressive CV, studying medicine in Ulm, Munich, and even New York. Dr. Bassermann has been a key figure in the Department of Hematology and Oncology at University Hospital Rechts der Isar in Munich since 2011. In 2017, he was appointed department director, highlighting his exceptional skills and leadership qualities. One of the noteworthy aspects of Dr. Bassermann's career is his extensive research and numerous scientific publications. He has published over 223 papers, focusing on various topics in cancer clinical trials, immunotherapies, and the development of novel treatments. These publications highlight his expertise and dedication to advancing the field of blood disorders and cancer treatment. Overall, Prof. Dr. med. Florian Bassermann's remarkable career, extensive experience, and commitment to research make him a highly respected doctor in internal medicine, hematology, and oncology. His contributions to scientific publications and his role as the Department of Hematology and Oncology director at University Hospital Rechts der Isar Munich further exemplify his expertise and proficiency in his field."
